state,D_H,D_w,D_b,D_aian,D_a,D_limitedeng,HS13a_uninsured,HS13b_PrivateIns,SEF05_married,SEF14b_CollageBAPlus,SEF19_employed,SEF25_severehouse,sef26_occupantsrm,SEF27_housingburden30,SEF28_medHHInc,SEF31_SingleParent,SEF36_ChildPoverty,SEF37_GiniInd,SEF38_poverty,HO49_Diabetes,HO53_ActivityLimit,HB50_Fruit,HB38_inactivity,HB41_currentsmoker,HO22_ExVgGoodHealthStatAdult,HO24_PhysUnhealthyDays,HO25_MentUnhealthyDays,HO33_OverwtAdult,HO47_CVD,HO48_Stroke,HS11_NotAffordDoc,HS19_DentalVisit,HS21_Mammogram,HB06_AnyBreastfeed,HO30_Chlamydia,HO32_HIV,PS03_TobaccoTax,hs23_crcscreen,HO01_AllMort,HO02_CVDMort,HO03_CancerMort,HO04_LowerRespMort,HO05_CerebroMort,HO06_AlzheimersMort,HO07_DiabetesMort,HO08_KidneyMort,HO15_SuicideMort,HO16_HomicideMort,HO17_InfantMort,HO18_LifeExpect,HO20_YLL75,HS02_ACSdischarge,PSE44_violentcrimerate,PS78b_Income_FPL1,PS76a_Education_All,HS07b_PCPratio2000,HS08_MentCarShort,HS25_AcuteReAdm,PSE05b_WalkabilityPop,PSE45_SocialCapital,PSE60_FineParticulateMatter,SEF40a_ConPov20,SEF42a_HighMinority,SEF42b_PoorHighMinority,Ho27_LBW,Ho28a_TeenBirth15to19,SEF07_ECEnoHS,SEF12_ReadProf8,pse06_parks,SEF45_adultjail,PSE35b_ACES2,PSE36_VIOLCRIME,PSE25_SafeSchool,PSE01_NHamenities,HB03_Binge,HO35_OverwtChild,HO39_OralProbs,HO40_adolasthma,HB10_RxAbuse,HB09_IllicitDrug,PSE41_TeenMentor,SEF48_foodinsecure,HO11_MotorVehMort,PS_PolicyRankings
IN,32,15,23,33,32,31,21,25,23,43,27,43,39,42,36,24,22,38,24,13,20,36,13,10,36,16,12,17,12,9,22,39,41,38,28,30,37,37,10,14,9,7,14,17,6,9,26,17,6,42,13,10,21,33,45,13,26,28,40,23,2,24,33,34,25,14,44,12,41,23,25,7,14,41,28,9,39,14,6,29,44,8,26,39
IA,34,5,38,29,30,34,46,6,5,36,48,46,46,48,25,39,39,45,36,37,40,32,30,29,7,48,45,7,34,26,50,12,27,17,41,46,29,23,29,25,20,18,40,20,21,45,29,42,24,19,35,26,36,32,22,21,11,37,24,2,30,38,45,45,43,31,13,17,36,36,34,13,10,25,30,30,51,27,45,50,6,40,23,20
KS,17,21,29,17,24,24,26,11,6,17,42,45,30,45,27,40,34,34,31,29,33,40,23,25,17,46,46,20,35,29,28,25,34,31,39,41,32,28,17,22,24,13,17,37,32,12,16,30,29,31,28,19,23,35,28,24,22,30,41,13,30,30,35,35,39,20,23,25,29,33,33,32,7,29,17,27,16,22,29,45,24,16,21,17
KY,45,8,25,33,41,42,32,38,21,48,20,40,35,41,47,18,7,17,4,4,4,44,4,2,47,3,3,5,3,6,24,40,23,49,38,34,43,17,4,9,1,1,11,12,5,4,18,23,15,48,4,1,45,38,39,12,21,8,34,38,2,3,42,42,10,7,37,17,37,9,7,37,33,42,8,14,8,46,15,23,16,6,6,40
LA,38,38,3,20,36,31,9,46,50,47,18,39,22,35,46,3,3,4,3,5,14,49,8,4,46,14,15,4,6,10,3,51,22,51,3,6,35,39,7,5,6,24,6,4,7,1,29,2,4,46,5,4,6,48,34,4,29,9,20,33,33,5,14,13,2,6,9,48,39,1,5,18,22,43,20,8,4,19,29,20,11,2,10,22
ME,50,1,45,19,47,45,34,30,15,24,35,8,47,20,33,28,31,36,30,27,10,4,35,14,24,12,18,27,8,25,37,33,10,18,48,38,15,1,20,40,12,16,39,29,21,26,20,50,31,26,27,23,51,21,27,46,33,40,17,9,39,34,48,48,38,43,35,17,48,49,16,9,1,34,15,34,17,16,25,49,1,7,24,7
MD,24,45,5,33,8,16,40,10,40,4,31,13,25,14,1,20,49,37,50,23,47,9,26,46,12,47,44,31,37,33,36,17,7,26,24,3,15,19,35,21,31,46,21,50,37,30,47,5,16,22,24,31,12,6,8,37,40,#N/A,12,27,13,48,7,9,18,40,13,12,9,34,51,47,24,12,49,13,47,26,18,35,41,45,40,1
MA,18,25,27,44,7,8,51,9,43,2,29,11,34,11,7,34,42,7,42,35,31,3,39,47,9,38,22,48,28,37,47,5,2,21,43,16,4,3,44,49,34,45,47,43,49,19,48,46,49,6,45,14,24,8,10,46,47,10,3,29,36,33,29,24,34,51,4,1,6,50,49,46,9,9,50,41,41,37,11,16,11,43,48,17
MI,38,22,16,20,23,31,38,19,31,35,5,21,43,28,34,19,17,25,16,18,16,26,22,11,32,9,11,14,9,15,20,15,18,36,22,35,15,18,15,10,15,22,22,24,16,19,33,14,19,37,17,12,14,34,32,25,36,7,36,18,23,17,22,19,18,31,18,32,25,19,30,16,20,23,44,19,35,32,20,23,36,17,39,28
MN,36,13,29,12,12,24,47,2,7,11,47,33,26,39,11,47,46,39,46,49,45,14,46,37,3,49,49,30,46,45,44,4,11,8,40,36,7,7,48,51,38,41,41,29,41,37,39,43,39,4,50,42,43,10,16,33,23,31,13,7,19,42,40,36,46,45,23,6,13,47,45,20,13,11,34,35,50,36,31,37,22,48,44,10
MS,48,39,2,25,48,48,7,50,47,50,1,25,15,32,51,2,1,10,1,1,9,51,2,5,49,7,8,1,5,1,1,50,40,48,6,11,39,49,1,1,2,5,2,5,2,2,33,3,2,51,2,3,37,51,42,2,4,2,49,28,17,1,13,15,1,2,15,49,46,3,6,50,47,51,9,3,30,8,47,27,24,1,1,48
MO,41,16,20,25,35,45,22,23,23,33,32,37,45,38,37,25,23,27,22,12,7,41,18,7,38,13,16,16,16,5,17,41,33,44,21,25,51,34,12,11,11,11,13,25,33,6,16,6,17,39,14,11,9,46,43,11,6,4,28,15,42,20,30,33,15,20,26,17,35,8,10,25,11,33,21,32,24,44,45,29,42,19,12,46
MT,43,6,51,5,50,50,10,31,11,22,39,26,27,34,40,44,29,31,25,47,11,23,41,18,18,25,43,40,41,21,31,29,46,4,36,49,23,46,21,34,37,12,34,41,27,40,2,35,29,31,19,38,27,28,31,39,7,47,19,4,30,22,41,41,30,20,44,12,17,27,13,10,32,40,2,48,22,18,8,37,50,23,7,33
NE,20,14,33,17,30,19,30,7,4,21,49,47,29,46,26,42,36,46,35,36,42,30,31,28,14,45,47,9,38,36,25,16,42,15,33,37,41,33,31,36,32,14,35,32,20,35,41,33,22,19,42,27,35,22,15,31,10,34,22,11,18,37,38,37,39,26,31,9,28,38,39,29,6,20,29,33,44,43,32,29,11,13,30,28
NV,5,46,24,13,5,7,4,41,45,46,2,28,7,10,29,11,21,35,25,30,29,12,19,31,44,11,5,42,22,20,8,43,45,23,25,12,21,45,16,12,30,9,31,34,50,30,8,20,33,34,22,37,4,31,49,41,13,3,33,48,13,32,15,16,18,13,50,43,7,12,17,3,51,14,25,28,20,41,14,10,51,30,29,38
